gene,sequence_length
pbpF,1839
pbuE,1185
pcaB,1056
pcaF,1206
pcaG,615
pcaH,762
pcaR,756
pccB,1534
pccR,1419
pchA,1386
pchB,306
pckA,1611
pcm_2,615
pcm_3,660
pcm_4,672
pcpR_1,927
pcpR_2~~~pcpR_1,924
pcs,726
pctA,2097
pdeA,816
pdhC,1344
pdhR,828
pdtaR,591
pdxA2_1,1047
pdxA2_2,966
pdxH,621
pdxJ,753
pdxY,882
pepA_1,1518
pepA_2,1392
pepF1,1884
pepN,2655
perR_2,423
petA,579
petE,432
pfp,1215
pgdA,879
pgi,1626
pgiA_2~~~pgiA_1,721
pglA,1227
pgm,1629
pgrR_10,954
pgrR_2,897
pgrR_3~~~pgrR_11,951
pgrR_4,900
pgrR_4~~~pgrR_10~~~pgrR_12,1110
pgrR_5,909
pgrR_8~~~pgrR_3,975
pgrR_9,924
pgsA,609
phaA,1182
phaB,726
pheA,855
pheS,1083
phhB,315
phnA,1275
phnC,840
phnG,468
phnH,603
phnI,1107
phnJ,894
phnK,777
phnL,708
phnW_1,1197
phnW_2~~~pucG~~~phnW_1,1360
phnY,1458
phoB_1,684
phoP_1,672
phoU,801
phyR_1,795
phyR_2,798
phzF_1,918
phzF_2,918
phzF_3,873
pip_1~~~pip_2,965
pip_2,891
pitA,558
pksS,1248
pld1,1020
pldB,949
pleC,2328
plsX,1044
plsY,606
pmbA,1347
pncA,600
pncB,1305
pncC,498
pnp,2154
pntAA,1248
pntB,1401
pobA,1173
polS,774
potA_1,1062
potA_2,999
potA_3,1122
potA_4,1062
potA_5,1143
potA_7,1116
potA_8,1080
potA_9~~~btuD_6~~~potA_8,1164
potB_1,855
potB_3,876
potB_6,984
potD_1,1164
potE,1359
potF,1101
potH_1,912
ppa,534
ppdK,2697
pphA_1,660
ppiA,573
pqqB,912
preA,1314
preT~~~gltD_1,1660
prfA,1083
prfB,1029
prfC,1584
priA,2205
prkA,870
prmC_1,735
prmC_2,882
proB,1182
proC_2,819
proC_2~~~proC_1,930
proS,1329
proV,1050
proX,738
prr,1428
prsA,1893
prsD_1,1749
prsE_1,1320
prsE_2~~~prsE_3,1312
prsE_4,1353
prs_1,933
prs_2,747
psd,699
pspA,600
pssM,969
pstB,807
psuG,942
psuK,960
pth,720
ptsJ_1,1437
ptsJ_2,1419
ptsN,465
pucK,1350
pucL,505
pucM_1,364
pucM_2,372
punA,798
purB,1308
purC,765
purD_1,1272
purE,513
purF_1,1491
purF_2,906
purH,1611
purK,1050
purL,2232
purM,1071
purN_1,810
purN_2,663
purQ,672
purR_1,1020
purR_2,1071
purR_2~~~degA_3,1195
purS,243
putA,3702
puuA_1,1368
puuA_2,1437
puuB_1~~~puuB_6,1401
puuB_2,1314
puuB_3,1291
puuB_4,1287
puuB_5,1282
puuD,756
puuE,1269
puuR,549
pyrB,942
pyrC_1,1293
pyrC_2,1044
pyrD,1089
pyrE_1,711
pyrE_2,699
pyrF,706
pyrG,1629
pyrH,723
qmcA,987
qorA_1,978
qorB,888
qseB,678
queA,1083
queC,711
queD,357
queE,738
queG,1164
radA,1404
rafR_2,1073
ramA,781
ramB,1413
rarD,942
ratA,450
rbfA,408
rbsA_1,1527
rbsA_10,1485
rbsA_12,1554
rbsA_12~~~rbsA_4,1542
rbsA_13~~~rbsA_7,1582
rbsA_14,1461
rbsA_2,1512
rbsA_6,1551
rbsA_9~~~rbsA_13,1692
rbsA_9~~~rbsA_8~~~araG_1,1497
rbsB_1,951
rbsB_2,969
rbsB_3,990
rbsB_4,891
rbsB_5,942
rbsB_7,990
rbsB_8,951
rbsC_1,1011
rbsC_10,1032
rbsC_11,987
rbsC_11~~~rbsC_19,1110
rbsC_14,993
rbsC_15,1050
rbsC_18,1008
rbsC_2,1026
rbsC_20,948
rbsC_20~~~rbsC_2~~~rbsC_17,1026
rbsC_21,1992
rbsC_3,996
rbsC_4,999
rbsC_5,963
rbsC_6,1005
rbsC_7,993
rbsC_8,1002
rbsK,900
rbsR,1092
rclR,987
rcsC_10,3507
rcsC_13,924
rcsC_4,2754
rcsC_6,834
rcsC_6~~~rcsC_12,2574
rcsC_7,1536
rdgB,645
recA,1086
recD2_2,1233
recF_1~~~recF,1882
recN,1674
recO,780
recR,607
regA,585
regB,1302
rfbC_2,564
rfbD,828
rfbF_2~~~rfbF_1,807
rfbG,1116
rfnT,1206
rfuC_1,1098
rfuC_2,1134
rfuD,972
rgtA_1~~~rgtA_2,1596
rgtE,1092
rhaM_1,330
rhaM_2,315
rhaR_1,951
rhaR_3,942
rhaR_6,900
rhaR_6~~~rhaR_5,997
rhaR_8,910
rhaR_8~~~rhaR_2,891
rhaR_9~~~rhaR_6~~~rhaR_4,1470
rhaS_1,882
rhaS_1~~~rhaS_5,885
rhaS_2,936
rhaS_5~~~rhaS_3,885
rhaS_7,942
rhlE_1,1515
rhlE_2,1500
rhtB_1,636
rhtB_2,633
rhtB_3,618
rhtB_4,612
rhtB_5,642
rhtB_6,636
rhtC_1~~~rhtC_2,648
rhtC_2,645
ribBA,1101
ribE,621
ribF,984
ribH1,462
ribH2,474
ribN_1,912
ribN_2,954
ribN_3,909
ribN_4,924
ribN_5,882
ribX,870
ridA_1,381
rihA,945
rihB_2,954
rimI,504
rimJ,612
rimM,564
rimP,618
rlmB_2,828
rlmB_2~~~rlmB_1,877
rlmD,1263
rlmE,738
rlmH,483
rlmJ,870
rlmL,1167
rlmN,1237
rlpA_1~~~rlpA_2,1041
rlpA_2,375
rluB,831
rluD,1032
rmlA,882
rna,768
rnc,717
rnd_1,1152
rnd_2,627
rnhA,462
rnhB,651
rnj,1668
rnk_1,408
rnk_1~~~rnk_2,423
rnpA,399
rob,840
rocB,1695
ropA_1,1050
ros_1,432
ros_4~~~ros_5,450
rpaR_2,741
rpaR_3,783
rpaR_4~~~rpaR_1,834
rpe_2,678
rph,720
rpiA,696
rpiB,447
rplA,699
rplB,837
rplC,687
rplD,621
rplE,558
rplF,534
rplI,576
rplK,429
rplL,381
rplM,465
rplN,369
rplO,471
rplP,414
rplQ,426
rplR,363
rplU,372
rplV,390
rplW,294
rplX,312
rplY,615
rpmA,270
rpmB,291
rpmC,201
rpmD,204
rpmE,222
rpmF,186
rpmG,168
rpmI,204
rpmJ,126
rpoA,1011
rpoC,4206
rpoD,2055
rpoH_1,867
rpoH_2,906
rpoN2,1545
rpoZ,408
rppH,528
rpsA,1707
rpsB,768
rpsC,714
rpsD,618
rpsE,570
rpsF,450
rpsG,471
rpsH,399
rpsI,468
rpsJ,309
rpsK,390
rpsL,372
rpsM,369
rpsN,306
rpsO,270
rpsP,375
rpsQ,237
rpsR,249
rpsS,279
rpsT,267
rpsU_1,237
rpsU_2,255
rsfS,492
rsh,2226
rsmA_1,825
rsmA_2,813
rsmB_2,1413
rsmC,1017
rsmD,562
rsmE,738
rsmG,642
rsmH,1110
rsmI,1107
rspR_1,687
rspR_2,711
rspR_3,705
rspR_3~~~rspR_5,693
rspR_6,702
rspR_7,696
rstB~~~sasA_2,1263
rutB_1~~~rutB,651
rutB_2~~~nicF,783
rutC,381
rutE,597
rutR,765
ruvA,618
ruvB,1041
ruvC,513
sasA_1~~~sasA_4,1902
sasA_1~~~sasA_8,3690
sasA_3,1335
sasA_3~~~sasA_7,1365
sasA_4,1482
sasA_6~~~sasA_2,1521
sasA_7,1788
sbmA,1293
sbp_2~~~sbp,1027
scpA,840
scpB_1,721
scrK,927
sctC_2,1401
sctC_2~~~sctC_1,1536
sdaA,1455
sdh,729
sdhA,1842
sdhB,780
sdhC,393
sdpR,324
secA,2712
secB,549
secD,2577
secD_1~~~secDF,2589
secY,1341
selA,1773
selD,1050
selO,1473
serA_1,1596
serA_2~~~ghrB_1,976
serC,1179
serS,1284
sfnC_2~~~sfnC,1212
sfsA,720
sgrR_3,1485
sgrR_3~~~mppA,1624
sgrR_5,1509
siaM_1,1314
siaM_3,1278
siaM_4,1281
siaP_2,975
siaP_3,972
siaP_4,1011
siaT_2,1869
sigF,538
sigJ,858
sigR,555
sir,1674
slyA_1,474
slyA_2,453
slyX,210
smpB,480
sodB,603
sodC,519
soxA_1,1188
soxA_2~~~soxA_3,2995
soxB_2,1332
soxB_3,1254
soxB_3~~~soxB_1,1293
soxD_1,279
soxD_2,342
soxR,486
speB,957
speF,2364
sphX,1035
spuC_2,1386
spuC_3~~~spuC_1,1377
spuC_5,1377
spuD_1,1041
spuE~~~spuD_2,1096
srmB,2541
sseA,864
sspA_1,675
sspA_2,687
ssuA,993
ssuA_2~~~ssuA_1,1329
ssuB_1,771
ssuC_1,846
ssuC_2,828
ssuC_4,864
sthA_2,1404
strE,1041
strE_2~~~hldD_2,936
sucA,3051
sucB_1,1137
sucB_2,1254
sucC,1197
sucD,903
sufB,1470
sufC,756
sufD,1279
sufE,423
sufS,1500
sugA_1,894
sugA_2,987
sugA_3,873
sugA_4,924
sugB_1,876
sugB_2,846
sugB_3,831
sugB_4,858
sugC_1,1153
sugC_2~~~sugC_4,1089
suhB_2,819
suhB_3,801
surA,949
surE,771
sutR,579
syrM1_1~~~syrM1,993
tadA_1,1206
tadA_2,450
tag,636
takP,1109
tal,654
tam_1,729
tam_2,774
tarM~~~pglH,1191
tatA,207
tatB,648
tatC,843
tauA,1020
tauB,813
tcyB_1,663
tcyB_2,681
tdcB_2~~~tdcB_1,1005
tdcF,384
tdh_2,1167
tdk,672
tesB,885
tetA_1,1248
tetR,696
tgnB,1041
tgnC,1465
tgnC_2~~~puuC,1464
tgt,1131
thiB,1029
thiC,1851
thiD,801
thiE_2,654
thiE_2~~~thiE_1,606
thiG,774
thiQ_1,684
thiQ_2,717
thpA,930
thpR,588
thrB_1,981
thrB_2,1050
thyA,795
tig,1476
tilS,1362
tktA_1,2085
tktA_2,1983
tktB,1995
tldD,1416
tlpA,675
tlyA,756
tme,2286
tmk,705
tmoT_1,642
tmpC,993
todT_2,417
tolB,1305
tolQ_1~~~tolQ_2,720
tolR,453
tpiA,771
tqsA,1131
trkA,1377
trkI_2~~~trkI_1~~~trkI,1587
trmB,756
trmD,723
trmFO,1419
trmJ,831
trmL,462
trpA,894
trpB,1221
trpC,816
trpD,1014
trpF,648
trpS,1065
truA,744
truB,936
trxB_1,975
trxB_2,906
tsaD,1098
tsf,924
ttcA,942
ttr,528
ttuD_1,1269
ttuD_2,1368
ttuE,1440
tufA_1,1176
tusA,240
tyrB_1,1170
tyrC,927
tyrS,1254
uacT_1~~~uacT_3,1473
ubiA,957
ubiB,1575
ubiD_1,1383
ubiE,813
ubiG,747
ubiK,288
ubiL_1,1212
ubiL_1~~~ubiL_2,1227
ucpA,780
uctC,1185
udg,861
udh,786
ugpA,882
ugpB_1~~~ugpB_2,1294
ugpC_1,1068
ugpC_10,1071
ugpC_11,1110
ugpC_3,1050
ugpC_4,1029
ugpC_5,1068
ugpC_7,1086
ugpC_8,1113
ugpC_9,1071
ugpC_9~~~ugpC_2,1083
ulaR,813
ung,739
upp,630
uppP,807
uppS,744
ureA,303
ureB1,306
ureD,834
ureE1,465
ureF,672
uspF,423
uup,1842
uvrC,2025
uxaA,1536
uxaC,1410
uxuA,1209
valS,2844
vapB1,261
vapB_2,234
vapC2,405
vapC_1~~~vapC_6,405
vapC_3,426
vapC_4,405
vat_1,615
vat_2,651
ves,594
vibB,681
vioD,1143
virB2_1,300
virB3_1~~~virB3_2,343
virB3_2,327
virB4_2,2370
virB5_1~~~virB5_2,702
virB5_2,684
virB6,936
virB8_1,672
virB9_1,855
virB9_2,882
virD4,1569
waaA,1314
walR,684
wbpA_1,1338
wecC~~~rkpK,1315
xdh,1149
xdhA_1,2337
xdhA_2,2319
xerC_3,993
xerD,936
xlnD,1165
xpkA,2454
xsc,1797
xseA,1581
xseB,252
xthA_1,774
xthA_2,795
xthA_3,792
xthA_4,807
xylA,1311
xylB_1,1434
xylB_4,1455
xylF,1038
xylG_1,1536
xylG_1~~~xylG_2,1528
xylH_1,1356
xylH_2,1215
xynB,1659
xynR_1,786
xypA,930
yabJ_2,390
yabJ_3~~~rutC_2~~~yabJ_1,393
yabJ_3~~~yabJ_4,385
yabJ_4~~~yabJ_3,396
yabJ_5,345
yabJ_6,393
yacG,213
yadG,927
yadH,762
yajC,333
yajO_1,1050
yajO_2,951
ybaA,354
ybaB,399
ybaK,474
ybbJ,456
ybeY,507
ybgC,456
ybhL,738
ybhN,942
ybhR,1113
ybhS,1155
ybjJ~~~ybjJ_1,1191
ycaC_3~~~ycaC_2,644
ycaD_1,1167
ycaD_3,1236
ycaD_5~~~ycaD_2,1185
ycaD_5~~~ycaD_4,1292
ycaD_6,1302
ycbX,852
yccU,429
ycdX,741
yceF,600
yceI,606
yceJ,627
ycf3,924
yciB,633
yciE,507
yciF,492
yciI,294
yciK,741
ycjG,984
ycjO_2,882
ycjO_3,906
ycjO_4,906
ycjP_1,858
ycjP_2,831
ycjX,1500
ycnJ,1626
ydaD,858
ydaP,1818
ydcO,1182
ydcU,951
ydcV_1,831
ydcV_2,792
ydcV_3,816
ydcV_4,819
yddA,1821
yddG,888
ydhP_2,1236
ydhP_2~~~ydhP_1,1194
ydiK_1,1176
ydjA,585
ydjG,915
ydjH_1~~~ydjH_2,993
ydjH_2~~~ydjH_1,936
yecD,669
yecS_2,654
yecS_3,666
yecS_3~~~yecS_4,657
yedJ,676
yedK,832
yeeZ,876
yehW,738
yehZ,918
yejB,1083
yejE,1134
yejF_2,1671
yejF_3,1629
yesO_1,1287
yesO_2,1284
yfcA,747
yfcA_2,1296
yfcG,702
yfcG_2,747
yffB,351
yfhA_1,1044
yfiC,1026
yfiH,795
ygaZ_2,654
ygeA,705
ygfF,753
ygfZ,849
yhaJ,922
yhbO_1,675
yhbO_2,588
yhdE,621
yhdG,1398
yhdN_1,1044
yhdN_1~~~yhdN_2,996
yhdN_3,981
yhdW_1,1026
yhdW_2,1011
yheS_1,1890
yheS_3,1623
yhfA,432
yhgF,2392
yhhQ,639
yhjE_1,1458
yhjE_2,1311
yhjQ,333
yiaD,684
yiaM_1,477
yiaM_1~~~yiaM_2,534
yiaO_2,993
yibF,591
yidD,375
yieH_2,696
yieH_2~~~yieH_1,670
yijE,945
yitJ_1,1092
yitJ_2,1014
yjbI,393
yjgH,399
yjiA_2,990
yjiA_3,1146
yjiA_3~~~yjiA_1,1050
yjiE,943
yjlD,1269
yliI,1191
ymdB,825
ynfE~~~dmsA,2181
ynjB,1227
ynjC,1689
ynjF,612
yofA,873
yphB,889
yqaA,447
yqeY,450
yqfL,822
yqjF_1,420
yqjF_2,438
yqjG,993
yrdA,531
yrrK,498
yteT,1299
ytfE,675
ytfQ_1,963
ytfQ_2,984
yurK,774
ywnA_1,459
yxeN,822
yyaP_1,661
yyaP~~~yyaP_1~~~yyaP_2,547
zapE,1155
zntA,2232
znuA,1023
znuB,828
znuC,909
zur,396
zwf,1477
