Number,Nitrogen,Rhizobia,Rstate,Fixstate,Mortality_End,Gall_Counter,Egg_sacs,Galls,Additional_nodules,Nod_Counter,S_white,L_white,S_yellow,L_yellow,S_pink,L_pink,S_brown,L_brown,Total_nod,Total_Small,Total_Large,Shoot_biomass,Seed_pods,Shoot_minus_seed_pods,Seed_pod_biomass,Root_biomass,Block,Nod_weigher,Nod_mass,masspnod,Sample,Run_date,Sample_weight_mg,N_Retention,N_Response,N_weight_mg,N_percent,C_Retention,C_Response,C_weight_mg,C_percent
144,2.5,Rm41,R+,Fix-,1,Nuri,7,8,0,Nuri,22,23,1,13,0,0,0,0,59,23,36,0.2649,1,0.2165,0.0505,0.0418,C,Nova,0.0037,0.0000627,144-2,2/11,4.93,1.95,240.94,0.08,1.54,3.13,15545.40,2.02,40.98
149,0.625,A145,R+,Fix-,1,Nuri,26,25,"3 large, 1 small",Nuri,15,13,3,20,0,0,0,0,51,18,33,0.0416,0,NA,NA,0.0153,C,Bethany,0.0030,0.0000588,149-1,2/8,4.97,1.94,180.07,0.05,1.06,3.15,13667.89,1.76,35.30
149,0.625,A145,R+,Fix-,1,Nuri,26,25,"3 large, 1 small",Nuri,15,13,3,20,0,0,0,0,51,18,33,0.0416,0,NA,NA,0.0153,C,Bethany,0.0030,0.0000588,149-2,2/23,4.65,1.84,167.76,0.05,1.08,3.08,12472.29,1.57,33.67
153,2.5,A145,R+,Fix-,1,Nuri,0,0,2 small,Nuri,2,1,3,0,0,0,0,0,6,5,1,0.0852,0,NA,NA,0.0149,C,Yasmeen,0.0004,0.0000667,153-1,2/9,4.38,1.93,444.22,0.14,3.20,3.14,13417.83,1.67,38.14
153,2.5,A145,R+,Fix-,1,Nuri,0,0,2 small,Nuri,2,1,3,0,0,0,0,0,6,5,1,0.0852,0,NA,NA,0.0149,C,Yasmeen,0.0004,0.0000667,153-2,2/23,4.66,1.85,460.20,0.14,3.08,3.07,14079.77,1.77,37.89
179,2.5,Em1022,R+,Fix+,1,Nova,11,11,0,Nova,20,4,8,26,0,0,0,0,58,28,30,0.285,2,0.2314,0.054,0.0424,C,Yasmeen,0.0052,0.0000897,179-1,2/11,4.48,1.94,214.73,0.07,1.50,3.14,13743.53,1.79,39.83
179,2.5,Em1022,R+,Fix+,1,Nova,11,11,0,Nova,20,4,8,26,0,0,0,0,58,28,30,0.285,2,0.2314,0.054,0.0424,C,Yasmeen,0.0052,0.0000897,179-2,2/11,4.99,1.94,243.26,0.08,1.54,3.13,15197.80,1.97,39.60
18,0.625,Rm41,R+,Fix-,1,Nova,14,15,2,Nova,12,2,9,5,0,0,0,0,28,21,7,0.0277,0,NA,NA,0.0089,A,Nova,0.0016,0.0000571,18-1,2/9,4.47,1.93,215.66,0.07,1.46,3.14,12935.44,1.61,36.00
18,0.625,Rm41,R+,Fix-,1,Nova,14,15,2,Nova,12,2,9,5,0,0,0,0,28,21,7,0.0277,0,NA,NA,0.0089,A,Nova,0.0016,0.0000571,18-2,2/23,3.30,1.84,155.68,0.05,1.41,3.13,9590.72,1.20,36.46
186,0.625,R-,R-,R-,1,Nova,2,3,0,Chig,1,0,0,0,0,0,0,0,1,1,0,0.0239,0,NA,NA,0.0059,D,Nova,0.0001,0.0001000,186-1,2/8,3.308,1.85,162.23,0.05,1.43,3.13,7373.83,0.94,28.45
186,0.625,R-,R-,R-,1,Nova,2,3,0,Chig,1,0,0,0,0,0,0,0,1,1,0,0.0239,0,NA,NA,0.0059,D,Nova,0.0001,0.0001000,186-2,2/8,4.624,1.85,219.08,0.07,1.41,3.08,10133.75,1.30,28.07
190,2.5,R-,R-,R-,1,Nova,27,28,0,Nova,2,0,0,5,0,0,0,0,7,2,5,0.2145,0,NA,NA,0.0412,D,Nova,0.0010,0.0001429,190-1,2/9,4.89,1.92,370.24,0.12,2.37,3.10,14954.17,1.86,38.11
190,2.5,R-,R-,R-,1,Nova,27,28,0,Nova,2,0,0,5,0,0,0,0,7,2,5,0.2145,0,NA,NA,0.0412,D,Nova,0.0010,0.0001429,190-2,2/9,4.70,1.92,359.44,0.11,2.39,3.11,14421.71,1.80,38.21
190,2.5,R-,R-,R-,1,Nova,27,28,0,Nova,2,0,0,5,0,0,0,0,7,2,5,0.2145,0,NA,NA,0.0412,D,Nova,0.0010,0.0001429,190-3,2/23,4.08,1.85,297.44,0.09,2.24,3.09,12399.21,1.56,38.10
194,0,Rm41,R+,Fix-,1,Nova,2,2,1,Nuri,2,0,0,1,4,15,0,0,22,6,16,0.1328,0,NA,NA,0.0164,D,Bethany,0.0049,0.0002227,194-1,2/9,4.81,1.92,379.32,0.12,2.48,3.15,12095.64,1.51,31.32
194,0,Rm41,R+,Fix-,1,Nova,2,2,1,Nuri,2,0,0,1,4,15,0,0,22,6,16,0.1328,0,NA,NA,0.0164,D,Bethany,0.0049,0.0002227,194-2,2/23,4.90,1.84,373.64,0.12,2.37,3.09,12115.45,1.52,31.04
198,0.625,Rm41,R+,Fix-,1,Nova,1,2,0,Yoon,2,0,0,2,0,9,0,0,13,2,11,0.0901,0,NA,NA,0.0162,D,Nova,0.0031,0.0002385,198-1,2/8,4.56,1.93,413.13,0.13,2.76,3.17,12224.56,1.57,34.42
198,0.625,Rm41,R+,Fix-,1,Nova,1,2,0,Yoon,2,0,0,2,0,9,0,0,13,2,11,0.0901,0,NA,NA,0.0162,D,Nova,0.0031,0.0002385,198-2,2/23,4.55,1.85,397.66,0.12,2.72,3.10,11930.63,1.50,32.92
203,2.5,Rm41,R+,Fix-,1,Nova,19,21,0,Chig,13,14,9,61,0,0,0,0,97,22,75,0.2291,1,0.1867,0.043,0.0519,D,Yasmeen,0.0057,0.0000588,203-1,2/9,4.22,1.93,209.35,0.06,1.50,3.14,12848.39,1.60,37.87
203,2.5,Rm41,R+,Fix-,1,Nova,19,21,0,Chig,13,14,9,61,0,0,0,0,97,22,75,0.2291,1,0.1867,0.043,0.0519,D,Yasmeen,0.0057,0.0000588,203-2,2/11,4.32,1.94,209.66,0.07,1.52,3.15,13260.40,1.72,39.89
206,0,A145,R+,Fix-,1,Nova,6,6,0,Yoon,7,0,5,1,1,5,0,0,19,13,6,0.0589,0,NA,NA,0.0088,D,Bethany,0.0026,0.0001368,206-1,2/8,4.89,1.93,379.50,0.12,2.36,3.16,12527.78,1.61,32.90
206,0,A145,R+,Fix-,1,Nova,6,6,0,Yoon,7,0,5,1,1,5,0,0,19,13,6,0.0589,0,NA,NA,0.0088,D,Bethany,0.0026,0.0001368,206-2,2/23,5.00,1.84,386.46,0.12,2.40,3.09,12491.37,1.57,31.32
209,0.625,A145,R+,Fix-,1,Nova,2,3,0,Nova,22,0,3,5,2,25,0,0,57,27,30,0.1051,0,NA,NA,0.0234,D,Nova,0.0040,0.0000702,209-1,2/8,4.96,1.94,402.56,0.12,2.47,3.14,14030.50,1.80,36.30
209,0.625,A145,R+,Fix-,1,Nova,2,3,0,Nova,22,0,3,5,2,25,0,0,57,27,30,0.1051,0,NA,NA,0.0234,D,Nova,0.0040,0.0000702,209-2,2/23,4.64,1.84,364.53,0.11,2.44,3.08,12743.53,1.60,34.46
210,0.625,A145,R+,Fix-,1,Nova,18,17,4,Yoon,7,0,1,1,0,28,0,0,37,8,29,0.1823,1,0.1523,0.0303,0.0205,D,Nova,0.0061,0.0001649,210-1,2/8,4.42,1.93,382.48,0.12,2.63,3.15,13442.30,1.73,39.04
210,0.625,A145,R+,Fix-,1,Nova,18,17,4,Yoon,7,0,1,1,0,28,0,0,37,8,29,0.1823,1,0.1523,0.0303,0.0205,D,Nova,0.0061,0.0001649,210-2,2/23,4.37,1.85,377.53,0.12,2.68,3.08,12989.95,1.63,37.33
217,0,Em1021,R+,Fix+,1,Nova,4,5,1,Nova,7,0,3,8,2,4,0,0,24,12,12,0.0598,0,NA,NA,0.0159,D,Nova,0.0034,0.0001417,217-1,2/9,4.23,1.92,338.19,0.11,2.49,3.14,11985.77,1.49,35.25
217,0,Em1021,R+,Fix+,1,Nova,4,5,1,Nova,7,0,3,8,2,4,0,0,24,12,12,0.0598,0,NA,NA,0.0159,D,Nova,0.0034,0.0001417,217-2,2/11,4.65,1.95,390.49,0.13,2.72,3.17,13276.92,1.72,37.08
217,0,Em1021,R+,Fix+,1,Nova,4,5,1,Nova,7,0,3,8,2,4,0,0,24,12,12,0.0598,0,NA,NA,0.0159,D,Nova,0.0034,0.0001417,217-3,2/23,4.34,1.84,336.01,0.10,2.40,3.09,12219.71,1.53,35.33
225,2.5,Em1021,R+,Fix+,1,Nova,18,18,1,Yoon,25,4,20,21,0,0,0,0,70,45,25,0.2225,0,NA,NA,0.0617,D,Nova,0.0041,0.0000586,225-1,2/8,4.984,1.87,308.62,0.09,1.87,3.03,14170.86,1.82,36.51
225,2.5,Em1021,R+,Fix+,1,Nova,18,18,1,Yoon,25,4,20,21,0,0,0,0,70,45,25,0.2225,0,NA,NA,0.0617,D,Nova,0.0041,0.0000586,225-2,2/8,4.308,1.86,287.36,0.09,2.01,3.05,12358.89,1.59,36.80
237,2.5,Em1022,R+,Fix+,1,Nova,35,36,0,Chig,1,0,0,10,0,0,0,0,11,1,10,0.292,2,0.2162,0.075,0.0481,D,Nova,0.0003,0.0000273,237-1,2/8,4.75,1.93,330.44,0.10,2.10,3.12,14866.80,1.91,40.20
237,2.5,Em1022,R+,Fix+,1,Nova,35,36,0,Chig,1,0,0,10,0,0,0,0,11,1,10,0.292,2,0.2162,0.075,0.0481,D,Nova,0.0003,0.0000273,237-2,2/23,4.41,1.84,297.19,0.09,2.08,3.06,13543.51,1.70,38.52
25,0,A145,R+,Fix-,1,Nuri,0,0,0,Nuri,1,4,1,2,3,6,0,0,17,5,12,0.0563,0,NA,NA,0.0150,A,Bethany,0.0018,0.0001059,25-1,2/9,4.05,1.92,340.39,0.11,2.62,3.14,12211.81,1.52,37.54
25,0,A145,R+,Fix-,1,Nuri,0,0,0,Nuri,1,4,1,2,3,6,0,0,17,5,12,0.0563,0,NA,NA,0.0150,A,Bethany,0.0018,0.0001059,25-2,2/11,4.89,1.95,386.36,0.13,2.56,3.14,14609.19,1.90,38.78
30,0.625,A145,R+,Fix-,1,Nuri,23,19,"1 large, 1 small",Nuri,15,12,5,1,3,3,0,0,39,23,16,0.0359,0,NA,NA,0.0130,A,Nova,0.0014,0.0000359,30-1,2/8,4.83,1.93,260.11,0.08,1.61,3.14,13806.64,1.77,36.72
30,0.625,A145,R+,Fix-,1,Nuri,23,19,"1 large, 1 small",Nuri,15,12,5,1,3,3,0,0,39,23,16,0.0359,0,NA,NA,0.0130,A,Nova,0.0014,0.0000359,30-2,2/23,4.04,1.84,217.01,0.07,1.63,3.09,11418.43,1.43,35.48
33,2.5,A145,R+,Fix-,1,Nuri,13,13,"5 large, 2 small",Nuri,12,13,0,2,1,11,0,0,39,13,26,0.1696,0,NA,NA,0.0346,A,Bethany,0.0035,0.0000897,33-2,2/8,4.425,1.94,395.06,0.12,2.72,3.14,13667.42,1.76,39.65
34,2.5,A145,R+,Fix-,1,Nova,11,11,0,Nuri,6,23,0,0,0,0,0,0,29,6,23,0.1781,0,NA,NA,0.0334,A,Nova,0.0016,0.0000552,34-1,2/11,4.93,1.95,366.15,0.12,2.40,3.14,14577.59,1.89,38.39
34,2.5,A145,R+,Fix-,1,Nova,11,11,0,Nuri,6,23,0,0,0,0,0,0,29,6,23,0.1781,0,NA,NA,0.0334,A,Nova,0.0016,0.0000552,34-2,2/11,5.00,1.94,365.23,0.12,2.36,3.14,14769.77,1.92,38.35
35,2.5,A145,R+,Fix-,1,Nuri,9,10,0,Nuri,1,0,1,1,0,14,0,0,17,2,15,0.2785,0,NA,NA,0.0447,A,Bethany,0.0056,0.0003294,35-1,2/9,4.74,1.93,397.18,0.13,2.63,3.11,14873.74,1.85,39.11
35,2.5,A145,R+,Fix-,1,Nuri,9,10,0,Nuri,1,0,1,1,0,14,0,0,17,2,15,0.2785,0,NA,NA,0.0447,A,Bethany,0.0056,0.0003294,35-2,2/23,4.18,1.85,350.41,0.11,2.60,3.08,12943.36,1.62,38.85
42,0,Em1021,R+,Fix+,1,Nuri,16,16,1 small,Nuri,3,6,4,23,8,5,0,0,49,15,34,0.0603,0,NA,NA,0.0141,A,Yasmeen,0.0032,0.0000653,42-1,2/9,4.79,1.93,258.74,0.08,1.66,3.13,13894.45,1.73,36.12
42,0,Em1021,R+,Fix+,1,Nuri,16,16,1 small,Nuri,3,6,4,23,8,5,0,0,49,15,34,0.0603,0,NA,NA,0.0141,A,Yasmeen,0.0032,0.0000653,42-2,2/23,4.57,1.84,223.59,0.07,1.49,3.07,13092.51,1.64,35.97
50,0,Em1022,R+,Fix+,1,Nuri,7,7,0,Nova,0,1,6,2,0,1,0,0,10,6,4,0.0161,0,NA,NA,0.0035,A,Yasmeen,0.0007,0.0000700,50-1,2/9,4.35,1.93,314.84,0.10,2.25,3.14,12905.04,1.61,36.93
50,0,Em1022,R+,Fix+,1,Nuri,7,7,0,Nova,0,1,6,2,0,1,0,0,10,6,4,0.0161,0,NA,NA,0.0035,A,Yasmeen,0.0007,0.0000700,50-2,2/23,1.00,1.83,89.00,0.03,2.52,3.26,3084.94,0.39,38.78
54,0.625,Em1022,R+,Fix+,1,Nuri,24,24,0,Chig,10,2,2,52,0,0,0,0,66,12,54,0.0817,0,NA,NA,0.0258,A,Yasmeen,0.0057,0.0000864,54-1,2/9,4.06,1.92,196.95,0.06,1.46,3.15,12167.39,1.51,37.33
54,0.625,Em1022,R+,Fix+,1,Nuri,24,24,0,Chig,10,2,2,52,0,0,0,0,66,12,54,0.0817,0,NA,NA,0.0258,A,Yasmeen,0.0057,0.0000864,54-2,2/9,4.44,1.92,238.78,0.07,1.64,3.14,13117.39,1.63,36.78
58,2.5,Em1022,R+,Fix+,1,Nuri,12,11,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.1119,0,NA,NA,0.0164,A,NA,0.0000,0.0000000,58-1,2/11,4.57,1.94,440.92,0.14,3.15,3.15,13976.38,1.82,39.75
58,2.5,Em1022,R+,Fix+,1,Nuri,12,11,0,Chig,0,0,0,0,0,0,0,0,0,0,0,0.1119,0,NA,NA,0.0164,A,NA,0.0000,0.0000000,58-2,2/11,4.60,1.94,453.55,0.15,3.22,3.15,14046.99,1.82,39.70
6,0.625,R-,R-,R-,1,Nuri,3,6,0,Chig,1,1,1,0,1,8,0,0,12,3,9,0.0333,0,NA,NA,0.0096,A,Bethany,0.0014,0.0001167,6-2,2/8,4.326,1.95,229.85,0.07,1.58,3.17,13096.96,1.68,38.85
65,0.625,R-,R-,R-,1,Nuri,9,15,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.0312,0,NA,NA,0.0145,B,NA,0.0000,0.0000000,65-1,2/9,4.77,1.91,176.42,0.05,1.10,3.13,12667.25,1.58,33.03
65,0.625,R-,R-,R-,1,Nuri,9,15,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.0312,0,NA,NA,0.0145,B,NA,0.0000,0.0000000,65-2,2/23,5.23,1.84,191.22,0.06,1.10,3.06,13554.75,1.70,32.53
90,0.625,A145,R+,Fix-,1,Nuri,8,13,1 small,Chig,29,16,5,27,0,2,0,0,79,34,45,0.051,0,NA,NA,0.0142,B,Nova,0.0029,0.0000367,90-1,2/9,4.36,1.92,161.24,0.05,1.09,3.15,12092.41,1.50,34.54
90,0.625,A145,R+,Fix-,1,Nuri,8,13,1 small,Chig,29,16,5,27,0,2,0,0,79,34,45,0.051,0,NA,NA,0.0142,B,Nova,0.0029,0.0000367,90-2,2/9,4.94,1.93,209.56,0.06,1.28,3.13,13603.94,1.69,34.28
93,2.5,A145,R+,Fix-,1,Nova,7,10,1,Nuri,43,10,7,12,0,0,0,0,72,50,22,0.2048,0,NA,NA,0.0414,B,Nova,0.0031,0.0000431,93-1,2/8,4.786,1.86,275.63,0.08,1.73,3.02,14456.94,1.86,38.79
98,0,Em1021,R+,Fix+,1,Nova,0,0,3,Nova,8,2,3,0,0,7,0,0,20,11,9,0.0921,0,NA,NA,0.0196,B,Nova,0.0029,0.0001450,98-1,2/11,4.94,1.95,467.25,0.15,3.09,3.13,15401.24,2.00,40.50
98,0,Em1021,R+,Fix+,1,Nova,0,0,3,Nova,8,2,3,0,0,7,0,0,20,11,9,0.0921,0,NA,NA,0.0196,B,Nova,0.0029,0.0001450,98-2,2/23,5.03,1.85,471.10,0.15,2.92,3.05,15224.89,1.91,37.97
9,2.5,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
15,0,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
19,0.625,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
26,0,A145,R+,Fix-,1,Nuri,5,4,0,Nuri,2,2,4,6,0,0,0,0,14,6,8,0.0136,0,NA,NA,0.0059,A,Yasmeen,0.0018,0.0001286,,,,,,,,,,,
27,0,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
31,0.625,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
38,0.625,Em1021,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
43,0,Em1021,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
47,2.5,Em1021,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
51,0,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
55,0.625,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
57,2.5,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,A,NA,NA,NA,,,,,,,,,,,
63,0,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
70,2.5,R-,R-,R-,1,Nuri,5,5,0,Nuri,0,0,0,0,0,0,0,0,0,0,0,0.2143,0,NA,NA,0.0442,B,NA,0.0000,0.0000000,,,,,,,,,,,
71,2.5,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
79,0.625,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
81,2.5,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
83,2.5,Rm41,R+,Fix-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
86,0,A145,R+,Fix-,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
94,2.5,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
95,2.5,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
102,0.625,Em1021,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
106,2.5,Em1021,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
107,2.5,Em1021,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
110,0,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
115,0.625,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
119,2.5,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,B,NA,NA,NA,,,,,,,,,,,
125,0.625,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
127,0.625,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
131,2.5,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
134,0,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
141,2.5,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
143,2.5,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
151,0.625,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
155,2.5,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
170,0,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,NA,NA,NA,,,,,,,,,,,
187,0.625,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
189,2.5,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
191,2.5,R-,R-,R-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
199,0.625,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
201,2.5,Rm41,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
211,0.625,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
213,2.5,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
215,2.5,A145,R+,Fix-,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
230,0,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
235,0.625,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
238,2.5,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
239,2.5,Em1022,R+,Fix+,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,D,NA,NA,NA,,,,,,,,,,,
163*,0.625,Em1021,R+,Fix+,0,Nova,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,C,Bethany,0.0007,NA,,,,,,,,,,,